﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2hjGuRIEfEGzQ5MEWLowiU","Cannonball","The Breeders","Last Splash","1","2","213693","spotify:user:padishahpiper","2018-08-24T03:24:58Z"
"spotify:track:6b2oQwSGFkzsMtQruIWm2p","Creep","Radiohead","Pablo Honey","1","2","238640","spotify:user:padishahpiper","2018-08-24T02:51:47Z"
"spotify:track:0Y6z8SN88GydlQPu96PCpl","Los Angeles","Frank Black","Frank Black","1","1","249000","spotify:user:padishahpiper","2018-08-24T03:22:43Z"
"spotify:track:4JGKZS7h4Qa16gOU3oNETV","Dreams","The Cranberries","Everybody Else Is Doing It, So Why Can't We?","1","2","271560","spotify:user:padishahpiper","2018-08-24T03:10:42Z"
"spotify:track:0u5aO1GYsIhAWCPuXdwnak","Today - Remastered","The Smashing Pumpkins","Siamese Dream (Deluxe Edition)","1","3","201173","spotify:user:padishahpiper","2018-08-24T02:50:06Z"
"spotify:track:3Ty7OTBNSigGEpeW2PqcsC","Glory Box","Portishead","Dummy","1","11","308626","spotify:user:padishahpiper","2018-08-24T03:05:49Z"
"spotify:track:28c4nfBHdb3xviamRCEsIe","Feel the Pain","Dinosaur Jr.","Without a Sound","1","1","259600","spotify:user:padishahpiper","2018-08-24T03:27:25Z"
"spotify:track:1AfYo6cKm3yHsJHdmNoGO1","Interstate Love Song","Stone Temple Pilots","Purple","1","4","193613","spotify:user:padishahpiper","2018-08-24T03:20:28Z"
"spotify:track:7a11Vg9zQaJi3IhIRmH7Rs","Your Favorite Thing","Sugar","File Under: Easy Listening (Remastered)","1","3","230866","spotify:user:padishahpiper","2018-08-24T03:28:14Z"
"spotify:track:127amD6XCyrI15H3jVDSmC","Here and Now","Letters To Cleo","Aurora Gory Alice","1","6","218613","spotify:user:padishahpiper","2018-08-24T03:51:51Z"
"spotify:track:2O6X9nPVVQSefg3xOQAo5u","Mysterons","Portishead","Dummy","1","1","305240","spotify:user:padishahpiper","2018-08-24T03:05:58Z"
"spotify:track:3kKVqFF4pv4EXeQe428zl2","Protection","Massive Attack, Tracey Thorn","Protection","1","1","471560","spotify:user:padishahpiper","2018-08-24T03:00:36Z"
"spotify:track:0xQ8FPMnv2mG9VhTgpxn2R","Supernova","Liz Phair","Whip-Smart","1","2","168840","spotify:user:padishahpiper","2018-08-24T03:51:20Z"
"spotify:track:02lTDOxHeXTHsdwXoz6lpC","In the Meantime","Spacehog","Resident Alien","1","1","299506","spotify:user:padishahpiper","2018-08-24T03:51:33Z"
"spotify:track:6JzzI3YxHCcjZ7MCQS2YS1","Black Star","Radiohead","The Bends","1","10","247040","spotify:user:padishahpiper","2018-08-24T03:07:39Z"
"spotify:track:4BUMLahhHwt4U3gWZVCBdi","Starseed","Our Lady Peace","Naveed","1","3","244040","spotify:user:padishahpiper","2018-08-24T03:19:47Z"
"spotify:track:5EUsI3LIV042IV5ydksV9y","River of Deceit","Mad Season","Above (Deluxe Edition)","1","3","302906","spotify:user:padishahpiper","2018-08-24T03:52:45Z"
"spotify:track:5QLHGv0DfpeXLNFo7SFEy1","1979 - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","2","5","266200","spotify:user:padishahpiper","2018-08-24T02:49:54Z"
"spotify:track:6lQE6LF3MU63Z6VyhPxaV3","Stars","Hum","You'd Prefer An Astronaut","1","3","309106","spotify:user:padishahpiper","2018-08-24T03:51:35Z"
"spotify:track:1hlIdWH3aUGZw8FUE3P9T2","Going Out Of My Head","Fatboy Slim","Better Living Through Chemistry","1","3","314240","spotify:user:padishahpiper","2018-08-24T15:09:49Z"
"spotify:track:6jc5gHCmrZW1XLcRM3wFlC","Hey Man, Nice Shot - Remastered Version","Filter","Short Bus","1","1","314440","spotify:user:padishahpiper","2018-08-24T04:18:22Z"
"spotify:track:3USAAb0W0n99SOensmme2D","Ponderosa","Tricky","Maxinquaye","1","2","210533","spotify:user:padishahpiper","2018-08-24T03:00:29Z"
