﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:709ffFK4o4MtG1NKoLvOma","Major Tom - Coming Home","Peter Schilling","The Different Story (World Of Lust And Crime)","1","2","301373","spotify:user:padishahpiper","2019-10-19T01:31:49Z"
"spotify:track:6edIZ76uLiHDkW64VVxGk8","The Politics of Dancing","Re-Flex","Lost And Found Volume 1 : Imagination","1","2","237333","spotify:user:padishahpiper","2019-10-19T01:32:01Z"
"spotify:track:6J2rMSRhgb4HuX6dWgM3nJ","I Melt with You","Modern English","After the Snow","1","5","251573","spotify:user:padishahpiper","2019-10-19T01:32:06Z"
"spotify:track:3gxEZXUjrNbl3TlSrTGbR5","Modern Love - 2018 Remaster","David Bowie","Let's Dance (2018 Remaster)","1","1","288339","spotify:user:padishahpiper","2019-10-19T01:32:28Z"
"spotify:track:5uyJ7fbjk6xZzt5UL5jcQg","True Faith - 2015 Remaster","New Order","Singles (2016 Remaster)","1","13","252053","spotify:user:padishahpiper","2019-10-19T01:32:33Z"
"spotify:track:5r2z0FHOoFI06GZEVGDjzM","Tempted","Squeeze","East Side Story","1","3","240333","spotify:user:padishahpiper","2019-10-19T01:32:37Z"
"spotify:track:0DfG1ltJnZyq4Tx3ZLL7ZU","Rock Me Amadeus - The Gold Mix","Falco","Falco III","1","1","202236","spotify:user:padishahpiper","2019-10-19T01:32:44Z"
"spotify:track:4f79zDW0EEn7ahOTjiNUn6","Perfect Way","Scritti Politti","Cupid & Psyche 85","1","6","284120","spotify:user:padishahpiper","2019-10-19T01:32:52Z"
"spotify:track:3ix6K4wZY29bCujrSznwFZ","Let's Dance - 2018 Remaster","David Bowie","Let's Dance (2018 Remaster)","1","3","457675","spotify:user:padishahpiper","2019-10-19T01:32:55Z"
"spotify:track:2ugghimAssmeO3YpFIV7mb","Blister In The Sun","Violent Femmes","Violent Femmes","1","1","145706","spotify:user:padishahpiper","2019-10-19T01:32:59Z"
"spotify:track:537yo062QIz16oQOgxmul3","Human","The Human League","Crash","1","3","265320","spotify:user:padishahpiper","2019-10-19T01:34:18Z"
"spotify:track:0C6EIiQu8CS4eYtOCMEiAd","Policy of Truth - 2006 Remaster","Depeche Mode","Violator (2006 Remaster)","1","7","294040","spotify:user:padishahpiper","2019-10-19T01:34:30Z"
"spotify:track:4d6eqRtpDX7tydHJGDZUBQ","She Drives Me Crazy","Fine Young Cannibals","The Raw & The Cooked","1","1","215773","spotify:user:padishahpiper","2019-10-19T01:34:47Z"
"spotify:track:0T702y9ndzZTnPq1bqiAM2","I Will Follow - Remastered 2008","U2","Boy (Deluxe Edition Remastered)","1","1","217386","spotify:user:padishahpiper","2019-10-19T01:35:28Z"
"spotify:track:38mEFmht9K7UcpHvS9vtJG","I Wanna Be A Cowboy","Boys Don't Cry","Boys Don't Cry","1","4","366133","spotify:user:padishahpiper","2019-10-19T01:35:44Z"
