﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5RL7Pq7FlVHDu4ZFivKTeU","Expiration Date","Blockhead","Downtown Science","1","1","341986","spotify:user:padishahpiper","2018-07-13T15:14:59Z"
"spotify:track:5T5YrHrReAewSmP95yBFyw","Held","Holy Other","Held","1","8","367514","spotify:user:padishahpiper","2018-07-13T00:57:50Z"
"spotify:track:2S16GlQ9C2zfan2Fgc9qV2","The Soundless Dawn Came Alive As Cities Began To Mark The Horizon","Red Sparowes","At The Soundless Dawn","1","3","259066","spotify:user:padishahpiper","2018-05-30T20:57:46Z"
"spotify:track:4TUUqHttZS3pBvWGjlzLk6","Ratts Of The Capital","Mogwai","Happy Songs For Happy People","1","6","505413","spotify:user:padishahpiper","2018-05-11T17:23:43Z"
"spotify:track:1zbqTlokWQXlVpNkClEpoj","Kinetic 2017","Orbital","Kinetic 2017","1","1","372173","spotify:user:padishahpiper","2018-03-14T22:03:54Z"
"spotify:track:6N759vFYolaNbbdd4As2Wi","Sixtyten","Boards of Canada","Music Has The Right To Children","1","6","348346","spotify:user:padishahpiper","2018-03-14T21:11:47Z"
"spotify:track:4llDF3RuBQYj2nkjTCJY4w","Quiet","This Will Destroy You","Young Mountain","1","1","293173","spotify:user:padishahpiper","2018-03-11T02:16:07Z"
"spotify:track:4XoQQ9ifs7nN5n2AiyLjC5","40 Days","Slowdive","Souvlaki","1","3","196266","spotify:user:padishahpiper","2018-03-11T02:02:49Z"
"spotify:track:3vNzDPSTgUr1d812rkaCvU","Breadcrumb Trail","Slint","Spiderland","1","1","355533","spotify:user:padishahpiper","2018-03-11T02:02:34Z"
"spotify:track:7FlwylpJSe3ea6m1IrkizS","West End Girls - 2001 Remaster","Pet Shop Boys","Please: Further Listening 1984-1986","1","2","245360","spotify:user:padishahpiper","2018-02-23T20:54:02Z"
"spotify:track:1c4OpZ2G1MEcEKSknUZjdD","Ceremony - Version 1; 2016 Remaster","New Order","Singles (2016 Remaster)","1","1","278760","spotify:user:padishahpiper","2018-02-22T23:04:21Z"
"spotify:track:1YrnDTqvcnUKxAIeXyaEmU","How Soon Is Now? - 2011 Remaster","The Smiths","Hatful of Hollow","1","5","408173","spotify:user:padishahpiper","2018-02-22T22:57:03Z"
"spotify:track:7FlwylpJSe3ea6m1IrkizS","West End Girls - 2001 Remaster","Pet Shop Boys","Please: Further Listening 1984-1986","1","2","245360","spotify:user:padishahpiper","2018-02-22T22:53:01Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","My Bloody Valentine","Loveless","1","1","257519","spotify:user:padishahpiper","2018-02-22T22:52:43Z"
"spotify:track:1LwP9g1Hjbs64jXM2Qsxry","Just Like Honey","The Jesus and Mary Chain","Psychocandy (Expanded Version)","1","1","182493","spotify:user:padishahpiper","2018-02-22T22:49:17Z"
"spotify:track:5EclH1u6hKzOV3m1I3LAc3","Transmission - 2010 Remaster","Joy Division","Substance","1","5","215148","spotify:user:padishahpiper","2018-02-22T22:49:09Z"
"spotify:track:55CenVQ4alvDJ1PS8aYB0m","Alison","Slowdive","Souvlaki","1","1","231893","spotify:user:padishahpiper","2018-08-02T21:04:23Z"
"spotify:track:38wCbVfMreML5ZhF5iQuKA","Disorder - 2007 Remaster","Joy Division","Unknown Pleasures","1","1","209039","spotify:user:padishahpiper","2018-08-02T21:04:26Z"
"spotify:track:58AWfmYbSeMywgJtXkey7Q","Vapour Trail - 2001 Remaster","Ride","Nowhere (Expanded)","1","8","257666","spotify:user:padishahpiper","2018-08-02T21:04:27Z"
"spotify:track:758wEKVqfYopJIHYWdLVd4","I Wanna Be Adored - Remastered","The Stone Roses","The Stone Roses","1","1","292800","spotify:user:padishahpiper","2018-08-02T21:04:48Z"
"spotify:track:1RCtHLyq1xIbgGMrYRrKJ2","Under the Milky Way","The Church","Starfish","1","2","297600","spotify:user:padishahpiper","2018-08-02T21:04:55Z"
"spotify:track:1YwNlWLf8auhazSQUDQLFU","Enjoy the Silence - Single Mix","Depeche Mode, Daniel Miller, Phil Legg","Enjoy the Silence","1","1","257333","spotify:user:padishahpiper","2018-08-02T21:05:23Z"
"spotify:track:1i6N76fftMZhijOzFQ5ZtL","Psycho Killer - 2005 Remaster","Talking Heads","Talking Heads '77 (Deluxe Version)","1","10","261413","spotify:user:padishahpiper","2018-08-02T21:05:28Z"
"spotify:track:1LzNfuep1bnAUR9skqdHCK","Fade Into You","Mazzy Star","So Tonight That I Might See","1","1","295600","spotify:user:padishahpiper","2018-08-02T21:05:37Z"
"spotify:track:0jmyo9QOmFbjDCYpNaPDhy","Black Metallic","Catherine Wheel","Ferment","1","3","438906","spotify:user:padishahpiper","2018-08-02T21:05:48Z"
